iteration,timestamp,value,node,protocol,run_id,trial,similarity,labels
1,3975,94,"127.0.0.1:9000","","","","","127.0.0.1:9000"
1,4031,94,"127.0.0.1:9001","","","","","127.0.0.1:9001"
